Sequence	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	S-Substitutions	N-Substitutions	Fold-S-Substitutions(0:2:4)	Fold-N-Substitutions(0:2:4)	Divergence-Time	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model
DPOGS216216-TA_Gili_FL_28_F_ctg24474	NG	0.0366983	0.300457	0.122141	6.56206e-06	252	56.5505	195.449	NA	21	14	7	NA	NA	0.0958875	1:1:1:1:1:1	0.402778(0.434524:0.380952:0.392857)	NA	NA	NA	NA
DPOGS216216-TA_Gili_FL_28_F_ctg24474	LWL	0.044344	0.280137	0.158294	3.1827e-06	252	53.3333	198.667	163:53.5:35.5	21	14.9407	8.80967	2:4.5:5	3.5:3:3	0.0942473	2.42105:2.42105:1:1:1:1	0.402778(0.434524:0.380952:0.392857)	NA	NA	NA	NA
DPOGS216216-TA_Gili_FL_28_F_ctg24474	MLWL	0.03811	0.262357	0.14526	8.83274e-07	252	63.8235	188.176	163:53.5:35.5	21	16.7446	7.1714	2:6:5	3.5:1.5:3	0.0949046	3.25:3.25:1:1:1:1	0.402778(0.434524:0.380952:0.392857)	NA	NA	NA	NA
DPOGS216216-TA_Gili_FL_28_F_ctg24474	LPB	0.0437997	0.223519	0.195955	3.82486e-05	252	66.8428	201.136	163:53.5:35.5	21	14.9407	8.80967	2:4.5:5	3.5:3:3	0.0942473	2.42105:2.42105:1:1:1:1	0.402778(0.434524:0.380952:0.392857)	NA	NA	NA	NA
DPOGS216216-TA_Gili_FL_28_F_ctg24474	MLPB	0.0362326	0.243788	0.148624	1.28917e-06	252	68.685	197.927	163:53.5:35.5	21	16.7446	7.1714	2:6:5	3.5:1.5:3	0.0949046	3.25:3.25:1:1:1:1	0.402778(0.434524:0.380952:0.392857)	NA	NA	NA	NA
DPOGS216216-TA_Gili_FL_28_F_ctg24474	GY-HKY	0.0375448	0.287568	0.13056	2.08588e-06	252	60.8539	191.146	NA	21	14.8926	6.10741	NA	NA	0.0979213	1.39213:1.39213:1:1:1:1	0.402778(0.434524:0.380952:0.392857)	-422.342	850.983	NA	HKY
DPOGS216216-TA_Gili_FL_28_F_ctg24474	YN	0.0375277	0.283507	0.13237	1.75421e-05	252	60.7019	191.298	NA	21	14	7	NA	NA	0.0967794	1.64672:1.64672:1:1:1:1	0.402778(0.434524:0.380952:0.392857)	NA	NA	NA	NA
DPOGS216216-TA_Gili_FL_28_F_ctg24474	MYN	0.0378672	0.27464	0.13788	2.54644e-05	252	62.3821	189.618	NA	21	14	7	NA	NA	0.0964799	1.92199:1.49278:1:1:1:1	0.402778(0.434524:0.380952:0.392857)	NA	NA	NA	NA
DPOGS216216-TA_Gili_FL_28_F_ctg24474	MS	0.0367707	0.305839	0.120229	1.03478e-06	252	58.1448	193.855	NA	21	14.991	6.00905	NA	NA	0.0988536	1:1:1:1:1:1	0.402778(0.434524:0.380952:0.392857)	-422.56	849.268	0.547665	F81
DPOGS216216-TA_Gili_FL_28_F_ctg24474	MA	0.036195	0.289471	0.125038	2.48447e-07	252	61.8624	190.138	NA	21	15.17	5.83	NA	NA	0.0983707	1.3022:1.28981:0.971095:0.970659:0.460777:1	0.402778(0.434524:0.380952:0.392857)	-422.457	NA	NA	NA
DPOGS216214-TA_Gili_FL_28_F_ctg53285	NG	NA	0.197641	-0	NA	318	80.5784	237.422	NA	14	14	NA	NA	NA	0.0500804	1:1:1:1:1:1	0.488994(0.561321:0.490566:0.415094)	NA	NA	NA	NA
DPOGS216214-TA_Gili_FL_28_F_ctg53285	LWL	NA	0.204818	0	NA	318	76.1667	241.833	200.5:62:55.5	14	15.6003	NA	0:7:2	0:0:5	0.0490576	3.6:3.6:1:1:1:1	0.488994(0.561321:0.490566:0.415094)	NA	NA	NA	NA
DPOGS216214-TA_Gili_FL_28_F_ctg53285	MLWL	NA	0.172296	0	NA	318	90.5435	227.457	200.5:62:55.5	14	15.6003	NA	0:7:2	0:0:5	0.0490576	3.6:3.6:1:1:1:1	0.488994(0.561321:0.490566:0.415094)	NA	NA	NA	NA
DPOGS216214-TA_Gili_FL_28_F_ctg53285	LPB	NA	0.185184	0	NA	318	84.2423	-nan	200.5:62:55.5	14	15.6003	NA	0:7:2	0:0:5	0.0490576	3.6:3.6:1:1:1:1	0.488994(0.561321:0.490566:0.415094)	NA	NA	NA	NA
DPOGS216214-TA_Gili_FL_28_F_ctg53285	MLPB	NA	0.185184	0	NA	318	84.2423	-nan	200.5:62:55.5	14	15.6003	NA	0:7:2	0:0:5	0.0490576	3.6:3.6:1:1:1:1	0.488994(0.561321:0.490566:0.415094)	NA	NA	NA	NA
DPOGS216214-TA_Gili_FL_28_F_ctg53285	GY-HKY	0.00018117	0.18117	0.001	0	318	87.8828	230.117	NA	14	13.9634	0.0365627	NA	NA	0.0501995	2.29562:2.29562:1:1:1:1	0.488994(0.561321:0.490566:0.415094)	-484.907	976.049	NA	HKY
DPOGS216214-TA_Gili_FL_28_F_ctg53285	YN	NA	0.209942	-0	NA	318	77.8275	240.173	NA	14	14	NA	NA	NA	0.0513813	0.819654:0.819654:1:1:1:1	0.488994(0.561321:0.490566:0.415094)	NA	NA	NA	NA
DPOGS216214-TA_Gili_FL_28_F_ctg53285	MYN	NA	0.190049	-0	NA	318	85.251	232.749	NA	14	14	NA	NA	NA	0.0509494	1.73689:1.7548:1:1:1:1	0.488994(0.561321:0.490566:0.415094)	NA	NA	NA	NA
DPOGS216214-TA_Gili_FL_28_F_ctg53285	MS	0.00018117	0.18117	0.001	0	318	87.8828	230.117	NA	14	13.9634	0.0365627	NA	NA	0.0501995	2.29562:2.29562:1:1:1:1	0.488994(0.561321:0.490566:0.415094)	-484.907	976.049	0.307955	HKY
DPOGS216214-TA_Gili_FL_28_F_ctg53285	MA	0.000184208	0.184208	0.001	1.11316e-09	318	83.3264	234.674	NA	14	13.9607	0.0393177	NA	NA	0.0484044	2.74635:2.30658:2.71577:2.72027:1.54221:1	0.488994(0.561321:0.490566:0.415094)	-484.796	NA	NA	NA
DPOGS216214-TA_Gili_FL_28_F_ctg62449	NG	0.00941018	0.45751	0.0205683	7.03724e-21	423	102.192	320.808	NA	38	35	3	NA	NA	0.117666	1:1:1:1:1:1	0.452719(0.56383:0.414894:0.379433)	NA	NA	NA	NA
DPOGS216214-TA_Gili_FL_28_F_ctg62449	LWL	0.00926333	0.487453	0.0190035	4.75202e-33	423	97	326	268:87:68	38	47.2829	3.01985	1.5:10:14.5	1:0.5:10.5	0.118919	4.33333:4.33333:1:1:1:1	0.452719(0.56383:0.414894:0.379433)	NA	NA	NA	NA
DPOGS216214-TA_Gili_FL_28_F_ctg62449	MLWL	0.0100452	0.386377	0.0259985	9.00419e-27	423	122.375	300.625	268:87:68	38	47.2829	3.01985	1.5:10:14.5	1:0.5:10.5	0.118919	4.33333:4.33333:1:1:1:1	0.452719(0.56383:0.414894:0.379433)	NA	NA	NA	NA
DPOGS216214-TA_Gili_FL_28_F_ctg62449	LPB	0.00989034	0.40871	0.0241989	3.86105e-28	423	115.688	305.333	268:87:68	38	47.2829	3.01985	1.5:10:14.5	1:0.5:10.5	0.118919	4.33333:4.33333:1:1:1:1	0.452719(0.56383:0.414894:0.379433)	NA	NA	NA	NA
DPOGS216214-TA_Gili_FL_28_F_ctg62449	MLPB	0.00989034	0.40871	0.0241989	3.86105e-28	423	115.688	305.333	268:87:68	38	47.2829	3.01985	1.5:10:14.5	1:0.5:10.5	0.118919	4.33333:4.33333:1:1:1:1	0.452719(0.56383:0.414894:0.379433)	NA	NA	NA	NA
DPOGS216214-TA_Gili_FL_28_F_ctg62449	GY-HKY	0.00668252	0.4107	0.0162711	1.5894e-21	423	119.787	303.213	NA	38	36.4968	1.50317	NA	NA	0.121094	2.87811:2.87811:1:1:1:1	0.452719(0.56383:0.414894:0.379433)	-689.576	1385.33	NA	HKY
DPOGS216214-TA_Gili_FL_28_F_ctg62449	YN	0.00653462	0.430105	0.0151931	2.30969e-20	423	115.485	307.515	NA	38	35.9996	2.00043	NA	NA	0.122176	2.28599:2.28599:1:1:1:1	0.452719(0.56383:0.414894:0.379433)	NA	NA	NA	NA
DPOGS216214-TA_Gili_FL_28_F_ctg62449	MYN	0.00682882	0.375088	0.0182059	1.70776e-18	423	128.039	294.961	NA	38	35.9994	2.00059	NA	NA	0.118298	4.5655:3.00071:1:1:1:1	0.452719(0.56383:0.414894:0.379433)	NA	NA	NA	NA
DPOGS216214-TA_Gili_FL_28_F_ctg62449	MS	0.00668252	0.4107	0.0162711	1.5894e-21	423	119.787	303.213	NA	38	36.4968	1.50317	NA	NA	0.121094	2.87811:2.87811:1:1:1:1	0.452719(0.56383:0.414894:0.379433)	-689.576	1385.33	0.475581	HKY
DPOGS216214-TA_Gili_FL_28_F_ctg62449	MA	0.0070034	0.432398	0.0161967	1.61836e-22	423	113.713	309.287	NA	38	36.3966	1.60339	NA	NA	0.12136	3.05977:2.86778:2.65159:2.68621:0.790442:1	0.452719(0.56383:0.414894:0.379433)	-690.875	NA	NA	NA
DPOGS216214-TA_Gili_FL_28_F_ctg93850	NG	NA	0.357494	-0	NA	180	38.6834	141.317	NA	11	11	NA	NA	NA	0.0768284	1:1:1:1:1:1	0.394444(0.3:0.483333:0.4)	NA	NA	NA	NA
DPOGS216214-TA_Gili_FL_28_F_ctg93850	LWL	NA	0.364054	0	NA	180	37	143	119:36:25	11	13.47	NA	0:3.5:2.5	0:0:5	0.0748333	2.4:2.4:1:1:1:1	0.394444(0.3:0.483333:0.4)	NA	NA	NA	NA
DPOGS216214-TA_Gili_FL_28_F_ctg93850	MLWL	NA	0.338242	0	NA	180	39.8235	140.176	119:36:25	11	13.47	NA	0:3.5:2.5	0:0:5	0.0748333	2.4:2.4:1:1:1:1	0.394444(0.3:0.483333:0.4)	NA	NA	NA	NA
DPOGS216214-TA_Gili_FL_28_F_ctg93850	LPB	NA	0.371555	0	NA	180	36.253	-nan	119:36:25	11	13.47	NA	0:3.5:2.5	0:0:5	0.0748333	2.4:2.4:1:1:1:1	0.394444(0.3:0.483333:0.4)	NA	NA	NA	NA
DPOGS216214-TA_Gili_FL_28_F_ctg93850	MLPB	NA	0.371555	0	NA	180	36.253	-nan	119:36:25	11	13.47	NA	0:3.5:2.5	0:0:5	0.0748333	2.4:2.4:1:1:1:1	0.394444(0.3:0.483333:0.4)	NA	NA	NA	NA
DPOGS216214-TA_Gili_FL_28_F_ctg93850	GY-HKY	0.000362193	0.362193	0.001	6.17193e-09	180	39.5112	140.489	NA	11	10.961	0.0389738	NA	NA	0.0797865	1.04438:1.04438:1:1:1:1	0.394444(0.3:0.483333:0.4)	-272.857	552.143	NA	HKY
DPOGS216214-TA_Gili_FL_28_F_ctg93850	YN	NA	0.360799	-0	NA	180	39.5999	140.4	NA	11	11	NA	NA	NA	0.0793756	1.11436:1.11436:1:1:1:1	0.394444(0.3:0.483333:0.4)	NA	NA	NA	NA
DPOGS216214-TA_Gili_FL_28_F_ctg93850	MYN	NA	0.303199	-0	NA	180	45.0584	134.942	NA	11	11	NA	NA	NA	0.0758981	2:2:1:1:1:1	0.394444(0.3:0.483333:0.4)	NA	NA	NA	NA
DPOGS216214-TA_Gili_FL_28_F_ctg93850	MS	0.000319245	0.319245	0.001	2.28603e-08	180	43.839	136.161	NA	11	10.9659	0.0340595	NA	NA	0.0779937	15.0499:15.0499:15.0499:15.0499:1:1	0.394444(0.3:0.483333:0.4)	-270.168	549.064	0.413858	K3PUF
DPOGS216214-TA_Gili_FL_28_F_ctg93850	MA	0.000334296	0.334296	0.001	0	180	40.1218	139.878	NA	11	10.9618	0.0382165	NA	NA	0.0747739	11.9304:12.8127:18.0117:16.6597:23.2028:1	0.394444(0.3:0.483333:0.4)	-272.65	NA	NA	NA
