OGS2	OGS1	Apyrene	Eupyrene	AE	Uniprot_Function	X	Manduca_Sperm	Dmel_Spermo	Function	Manduca_homolog	Dmel_homologs
DPOGS200496	DPOGS121768	TRUE	TRUE	TRUE	Putative non-metastatic cells 5 protein	1	Msex2.02970	NA	non-metastatic cells 5 protein	NA	FBgn0030573
DPOGS200503	DPOGS120162	FALSE	FALSE	TRUE	NA	NA	NA	NA	iron regulatory protein 1	Msex2.11706	FBgn0024957
DPOGS200504	DPOGS112243	FALSE	FALSE	TRUE	Iron regulatory protein 1	NA	NA	NA	iron regulatory protein 1	Msex2.11708	FBgn0024957
DPOGS200512	DPOGS112277	FALSE	FALSE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_12277	NA	FBgn0003890
DPOGS200518	DPOGS109469	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.08594	NA	hypothetical protein KGM_01365	NA	FBgn0003719
DPOGS200548	DPOGS101652	TRUE	TRUE	TRUE	Aminopeptidase N-like protein	NA	NA	NA	aminopeptidase n-like protein	Msex2.10159	FBgn0263236
DPOGS200549	DPOGS105571	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_05571	Msex2.10159	FBgn0263236
DPOGS200638	DPOGS102478	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.04066	NA	hypothetical protein KGM_02478	NA	FBgn0085370
DPOGS200646	DPOGS108322	FALSE	TRUE	FALSE	Uncharacterized protein	0.104	Msex2.04050	FBgn0033961	hypothetical protein KGM_08322	Msex2.04051	NA
DPOGS200647	DPOGS108323	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_08323	NA	NA
DPOGS200723	DPOGS107997	FALSE	TRUE	TRUE	Peptidyl-prolyl cis-trans isomerase E	NA	NA	NA	peptidyl-prolyl cis-trans isomerase e	Msex2.10624	FBgn0036415
DPOGS200740	DPOGS108004	TRUE	TRUE	TRUE	Putative tetraspanin	1	Msex2.10623	NA	putative tetraspanin	NA	FBgn0036769
DPOGS200759	DPOGS108081	FALSE	TRUE	TRUE	Uncharacterized protein	1	Msex2.11042	NA	hypothetical protein KGM_08081	NA	NA
DPOGS200797	DPOGS100827	FALSE	FALSE	TRUE	Casein kinase I alpha	NA	NA	FBgn0015024	casein kinase i alpha	Msex2.12447	NA
DPOGS200799	DPOGS100829	FALSE	TRUE	TRUE	V-type proton ATPase subunit B	1	Msex2.12444	FBgn0005671	v-type proton atpase subunit b	NA	NA
DPOGS200854	DPOGS100689	FALSE	TRUE	TRUE	Mitochondrial matrix protein p33	1	Msex2.07784	NA	mitochondrial matrix protein p33	NA	FBgn0034259
DPOGS200858	DPOGS100694	TRUE	TRUE	TRUE	Acyl carrier protein	NA	NA	FBgn0011361	nadh dehydrogenase isoform 1	Msex2.07792	NA
DPOGS200888	DPOGS102542	TRUE	TRUE	TRUE	NADH dehydrogenase ubiquinone Fe-S 8	1	Msex2.06553	NA	nadh dehydrogenase ubiquinone fe-s 8	NA	FBgn0017567
DPOGS200904	DPOGS102560	TRUE	TRUE	TRUE	Citrate synthase	1	Msex2.11529	NA	citrate synthase	NA	FBgn0261955
DPOGS200908	DPOGS102563	TRUE	TRUE	TRUE	EF-hand calcium-binding domain-containing protein 1	1	Msex2.11523	NA	ef-hand calcium-binding domain-containing protein 1	NA	FBgn0029995
DPOGS200911	DPOGS102567	TRUE	TRUE	TRUE	Glutamine synthetase (EC 6.3.1.2)	NA	NA	NA	hypothetical protein KGM_02567	Msex2.06563	FBgn0001145
DPOGS200926	DPOGS103983	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.03104	NA	hypothetical protein KGM_03983	NA	FBgn0031347
DPOGS200967	DPOGS102403	FALSE	TRUE	FALSE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_02403	Msex2.00321	NA
DPOGS200969	DPOGS102405	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_02405	Msex2.00317	NA
DPOGS200987	DPOGS106784	TRUE	TRUE	TRUE	Putative Mitochondrial 2-oxoglutarate/malate carrier protein	NA	NA	NA	mitochondrial 2-oxoglutarate malate carrier	Msex2.03358	FBgn0039674
DPOGS200989	DPOGS106290	TRUE	TRUE	TRUE	Putative Mitochondrial 2-oxoglutarate/malate carrier protein	0.25	Msex2.03362	FBgn0035568	mitochondrial 2-oxoglutarate malate carrier protein	NA	FBgn0039674
DPOGS200992	DPOGS106293	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.03368	NA	hypothetical protein KGM_06293	NA	NA
DPOGS201017	DPOGS106300	FALSE	TRUE	FALSE	Sepiapterin reductase	NA	NA	NA	sepiapterin reductase	Msex2.03364	FBgn0014032
DPOGS201045	DPOGS105305	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA
DPOGS201094	DPOGS119567	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.06467	NA	isocitrate dehydrogenase	NA	FBgn0027291
DPOGS201095	DPOGS117670	FALSE	TRUE	TRUE	Isocitrate dehydrogenase	NA	NA	NA	isocitrate dehydrogenase	NA	FBgn0027291
DPOGS201111	DPOGS118945	FALSE	TRUE	TRUE	Vacuolar ATP synthase subunit G	1	Msex2.06958	NA	vacuolar atp synthase subunit g	NA	FBgn0026753
DPOGS201112	DPOGS118946	FALSE	TRUE	TRUE	Putative Trypsin alpha	1	Msex2.06954	NA	trypsin alpha	NA	FBgn0039703
DPOGS201116	DPOGS118949	FALSE	TRUE	TRUE	Kallikrein 13	NA	NA	NA	kallikrein 13 precursor	Msex2.06955	FBgn0039272
DPOGS201117	DPOGS118950	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.06956	NA	hypothetical protein KGM_02679	NA	FBgn0032833
DPOGS201118	DPOGS118951	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.06957	NA	hypothetical protein KGM_18951	NA	FBgn0259998
DPOGS201125	DPOGS112459	FALSE	TRUE	TRUE	Trypsin-1	1	Msex2.04716	NA	trypsin-1	NA	FBgn0015316
DPOGS201143	DPOGS105536	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.13123	FBgn0035724	hypothetical protein KGM_05536	NA	NA
DPOGS201164	DPOGS104992	FALSE	TRUE	FALSE	Putative nuclear protein localization	1	Msex2.11987	NA	nuclear protein localization	NA	FBgn0039348
DPOGS201223	DPOGS104323	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_04323	Msex2.05184	FBgn0036931
DPOGS201263	DPOGS104333	FALSE	TRUE	TRUE	Uncharacterized protein	1	Msex2.05183	NA	hypothetical protein KGM_04333	NA	NA
DPOGS201289	DPOGS111827	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.05412	FBgn0013810	hypothetical protein KGM_11827	NA	NA
DPOGS201305	NA	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA
DPOGS201311	DPOGS112839	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_12839	NA	NA
DPOGS201312	DPOGS112839	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_12839	Msex2.05438	FBgn0031619
DPOGS201313	DPOGS112840	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_12840	Msex2.05437	FBgn0010425
DPOGS201323	DPOGS106859	TRUE	TRUE	TRUE	Aspartate aminotransferase (EC 2.6.1.1)	1	Msex2.05418	NA	aspartate aminotransferase	NA	FBgn0001125
DPOGS201379	DPOGS121512	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.06578	FBgn0013809	hypothetical protein KGM_21512	NA	NA
DPOGS201389	DPOGS121521	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_21521	NA	NA
DPOGS201392	DPOGS121524	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA
DPOGS201402	DPOGS121532	FALSE	TRUE	TRUE	Mitochondrial ADP/ATP carrier protein	0.333	Msex2.06969	FBgn0025111	mitochondrial adp atp carrier protein	NA	NA
DPOGS201415	DPOGS118501	FALSE	TRUE	TRUE	Uncharacterized protein	0.5	Msex2.13798	NA	hypothetical protein KGM_18501	NA	FBgn0025678
DPOGS201428	DPOGS113696	FALSE	TRUE	TRUE	Uncharacterized protein	1	Msex2.08548	FBgn0038271	hypothetical protein KGM_13696	NA	NA
DPOGS201447	DPOGS100424	TRUE	FALSE	FALSE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_00424	Msex2.03714	FBgn0051973
DPOGS201501	DPOGS109025	FALSE	FALSE	TRUE	Putative prolyl endopeptidase isoform 1	1	Msex2.03717	NA	prolyl endopeptidase isoform 1	NA	FBgn0032242
DPOGS201524	DPOGS112768	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_12768	Msex2.03935	FBgn0034583
DPOGS201533	DPOGS113705	FALSE	FALSE	TRUE	Rab-related protein	NA	NA	NA	rab-related protein	Msex2.13804	FBgn0002567
DPOGS201556	DPOGS119719	FALSE	FALSE	TRUE	Putative F38B2.4	1	Msex2.07067	FBgn0022709	adenylate kinase isoenzyme 1-like isoform x1	NA	NA
DPOGS201557	DPOGS119720	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_19720	NA	NA
DPOGS201569	DPOGS118135	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA
DPOGS201582	DPOGS112822	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA
DPOGS201597	DPOGS116864	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_03806	Msex2.13473	FBgn0032649
DPOGS201656	DPOGS120263	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.09940	NA	heavy polypeptide 1	NA	NA
DPOGS201674	DPOGS118461	FALSE	TRUE	FALSE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_18461	Msex2.01886	FBgn0037985
DPOGS201676	DPOGS118463	TRUE	TRUE	TRUE	Putative NADH dehydrogenase	1	Msex2.01888	NA	nadh dehydrogenase	NA	FBgn0033570
DPOGS201692	DPOGS105888	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_05888	Msex2.11680	FBgn0038452
DPOGS201693	DPOGS105889	TRUE	FALSE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_05889	Msex2.14449	NA
DPOGS201709	DPOGS109094	FALSE	TRUE	TRUE	Uncharacterized protein	1	Msex2.11674	NA	hypothetical protein KGM_09094	NA	FBgn0034532
DPOGS201744	DPOGS117373	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.06504	NA	14-3-3 protein zeta	NA	FBgn0004907
DPOGS201752	DPOGS117379	TRUE	TRUE	TRUE	Putative Cullin-associated NEDD8-dissociated protein 1	1	Msex2.06493	NA	cullin-associated nedd8-dissociated protein 1	NA	FBgn0027568
DPOGS201758	DPOGS117380	TRUE	FALSE	FALSE	Uncharacterized protein	NA	NA	FBgn0031869	hypothetical protein KGM_07163	Msex2.06492	NA
DPOGS201797	DPOGS114429	FALSE	TRUE	TRUE	Putative coiled-coil domain-containing protein	NA	NA	NA	coiled-coil domain-containing protein	Msex2.14337	FBgn0032768
DPOGS201801	DPOGS114434	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_14434	Msex2.08307	FBgn0038452
DPOGS201813	DPOGS114446	FALSE	TRUE	TRUE	Phosphoglyceromutase	0.5	Msex2.12647	NA	phosphoglyceromutase	NA	FBgn0014869
DPOGS201816	DPOGS114448	FALSE	FALSE	TRUE	Abhydrolase domain containing 11	NA	NA	NA	abhydrolase domain containing 11	NA	FBgn0029942
DPOGS201826	DPOGS112568	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA
DPOGS201832	DPOGS111415	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_11415	Msex2.07934	FBgn0036195
DPOGS201862	DPOGS116907	TRUE	FALSE	FALSE	Uncharacterized protein	NA	NA	FBgn0031216	hypothetical protein KGM_16907	Msex2.07056	NA
DPOGS201911	DPOGS111421	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA
DPOGS201912	DPOGS122354	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	f-box and wd domain protein	Msex2.07936	NA
DPOGS201983	DPOGS110851	FALSE	FALSE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_10851	Msex2.13506	NA
DPOGS201984	DPOGS110851	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.13505	NA	hypothetical protein KGM_10851	NA	NA
DPOGS202024	DPOGS107102	TRUE	TRUE	TRUE	"Succinate dehydrogenase, iron-sulfur subunit"	1	Msex2.03529	NA	succinate iron-sulfur subunit	NA	FBgn0014028
DPOGS202110	DPOGS116628	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	PREDICTED: uncharacterized protein LOC101744306	Msex2.00165	NA
DPOGS202115	DPOGS114851	FALSE	FALSE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_14851	Msex2.00166	FBgn0033243
DPOGS202129	DPOGS121349	FALSE	TRUE	TRUE	Uncharacterized protein	0.6	Msex2.06763	NA	putative Uncharacterized protein C4orf22-like protein	NA	FBgn0038122
DPOGS202151	DPOGS110507	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA
DPOGS202178	DPOGS110825	TRUE	TRUE	TRUE	Aspartate aminotransferase (EC 2.6.1.1)	1	Msex2.09677	FBgn0001124	hypothetical protein KGM_10825	NA	NA
DPOGS202238	NA	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA
DPOGS202254	DPOGS116291	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_16291	Msex2.08116	FBgn0037684
DPOGS202261	DPOGS102316	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.12581	NA	hypothetical protein KGM_02316	Msex2.03841	FBgn0035046
DPOGS202294	DPOGS117408	FALSE	TRUE	TRUE	Mitochondrial NADH:ubiquinone oxidoreductase B14.7 subunit	NA	NA	NA	mitochondrial nadh:ubiquinone oxidoreductase subunit	Msex2.13322	FBgn0034576
DPOGS202308	DPOGS117422	FALSE	FALSE	TRUE	Uncharacterized protein	0.333	Msex2.05286	NA	hypothetical protein KGM_17422	NA	FBgn0027492
DPOGS202351	DPOGS109708	FALSE	FALSE	TRUE	Fmr	NA	NA	FBgn0028734	fmr	Msex2.09225	NA
DPOGS202367	DPOGS110936	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_03948	Msex2.05741	FBgn0036436
DPOGS202391	DPOGS112497	FALSE	TRUE	TRUE	Uncharacterized protein	1	Msex2.10371	NA	hypothetical protein KGM_12497	Msex2.14228	NA
DPOGS202402	DPOGS110381	TRUE	TRUE	TRUE	Beta-tubulin	NA	NA	NA	beta-tubulin	NA	NA
DPOGS202403	DPOGS110382	TRUE	TRUE	TRUE	Putative beta1-tubulin	NA	NA	NA	putative beta1-tubulin	NA	NA
DPOGS202417	DPOGS110386	FALSE	TRUE	TRUE	Beta-tubulin	1	Msex2.01461	NA	beta-tubulin	NA	NA
DPOGS202422	DPOGS114370	FALSE	TRUE	TRUE	Uncharacterized protein	1	Msex2.13184	NA	hypothetical protein KGM_14370	NA	NA
DPOGS202431	DPOGS114366	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_14366	Msex2.13185	NA
DPOGS202432	NA	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	Msex2.13182	NA
DPOGS202451	DPOGS120117	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_20117	Msex2.08088	NA
DPOGS202452	DPOGS120118	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	2-oxoglutarate mitochondrial-like isoform x2	NA	NA
DPOGS202537	DPOGS107276	FALSE	FALSE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_07276	Msex2.00394	FBgn0034481
DPOGS202591	DPOGS122315	FALSE	TRUE	TRUE	Putative radial spoke head 1-like protein	NA	NA	NA	radial spoke head 1-like protein	Msex2.02660	FBgn0036014
DPOGS202602	DPOGS101761	FALSE	TRUE	FALSE	Putative mini-chromosome maintenance deficient 9	NA	NA	NA	mini-chromosome maintenance deficient 9	Msex2.00544	FBgn0014861
DPOGS202628	DPOGS112007	TRUE	TRUE	TRUE	Mitochondrial prohibitin complex protein 2	1	Msex2.01169	NA	mitochondrial prohibitin complex protein 2	NA	FBgn0010551
DPOGS202687	DPOGS114132	FALSE	FALSE	TRUE	Uncharacterized protein	NA	NA	NA	atp-dependent bile acid permease	Msex2.07664	FBgn0039207
DPOGS202689	DPOGS108988	FALSE	TRUE	TRUE	Uncharacterized protein	1	Msex2.07892	NA	hypothetical protein KGM_08988	NA	FBgn0083946
DPOGS202694	DPOGS108993	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.07903	NA	hypothetical protein KGM_08993	NA	NA
DPOGS202695	DPOGS108994	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.07904	NA	hypothetical protein KGM_08994	NA	FBgn0051025
DPOGS202703	DPOGS109000	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA
DPOGS202732	DPOGS107037	FALSE	FALSE	TRUE	Uncharacterized protein	1	Msex2.01875	NA	hypothetical protein KGM_07037	NA	FBgn0260747
DPOGS202769	DPOGS109039	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.11487	FBgn0051803	hypothetical protein KGM_09039	NA	NA
DPOGS202773	DPOGS109043	FALSE	TRUE	TRUE	Peroxiredoxin	1	Msex2.11496	NA	peroxiredoxin	NA	FBgn0038570
DPOGS202792	DPOGS108355	FALSE	TRUE	TRUE	Muscle-specific protein 300	NA	NA	NA	muscle-specific protein 300	Msex2.06395	FBgn0261836
DPOGS202793	DPOGS108356	TRUE	TRUE	TRUE	Putative 1-beta dynein	NA	NA	NA	1-beta dynein	Msex2.06398	FBgn0034106
DPOGS202794	DPOGS122433	TRUE	TRUE	TRUE	NA	NA	NA	NA	1-beta dynein	Msex2.06398	FBgn0001313
DPOGS202795	DPOGS122434	TRUE	TRUE	TRUE	Putative dynein axonemal heavy chain-like protein	NA	NA	NA	dynein axonemal heavy chain-like protein	Msex2.06398	FBgn0001313
DPOGS202822	DPOGS117888	TRUE	TRUE	TRUE	Putative cyclic GMP stimulated phosphodiesterase	1	Msex2.04815	NA	cyclic gmp stimulated phosphodiesterase	NA	FBgn0085370
DPOGS202898	DPOGS121197	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.10721	NA	hypothetical protein KGM_21197	NA	FBgn0030359
DPOGS202910	DPOGS106365	FALSE	TRUE	TRUE	Putative ATP-binding cassette sub-family A member 3	NA	NA	NA	atp-binding cassette sub-family a member 3	Msex2.12147	FBgn0031170
DPOGS202970	DPOGS117755	FALSE	TRUE	TRUE	Putative malate dehydrogenase	NA	NA	NA	malate dehydrogenase	Msex2.02939	FBgn0262559
DPOGS202983	DPOGS121585	TRUE	FALSE	FALSE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_21585	Msex2.09956	FBgn0030266
DPOGS202994	DPOGS121594	FALSE	TRUE	TRUE	Ociad protein isoform 1	1	Msex2.11850	NA	ociad protein isoform 1	NA	FBgn0034793
DPOGS202995	DPOGS121595	FALSE	TRUE	TRUE	Ociad protein isoform 2	1	Msex2.11849	NA	ociad protein isoform 2	NA	FBgn0034793
DPOGS202999	DPOGS121597	FALSE	TRUE	TRUE	ATP synthase subunit gamma	1	Msex2.01334	NA	h+ transporting atp synthase gamma subunit	NA	FBgn0020235
DPOGS203034	DPOGS121634	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.07351	NA	hypothetical protein KGM_21634	NA	NA
DPOGS203039	DPOGS122520	FALSE	TRUE	FALSE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_22520	Msex2.01269	NA
DPOGS203050	DPOGS122531	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA
DPOGS203086	DPOGS116238	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_16238	Msex2.12663	NA
DPOGS203089	DPOGS103508	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_03508	Msex2.12663	NA
DPOGS203190	DPOGS111484	FALSE	TRUE	FALSE	Uncharacterized protein	NA	NA	NA	"PREDICTED: uncharacterized protein LOC101746620, partial"	Msex2.01938	FBgn0031374
DPOGS203191	DPOGS119758	FALSE	TRUE	FALSE	Putative cullin isoform 1	NA	NA	FBgn0032956	cullin isoform 1	Msex2.01954	NA
DPOGS203207	DPOGS121405	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_21405	Msex2.06743	FBgn0034479
DPOGS203218	DPOGS118697	FALSE	TRUE	TRUE	Uncharacterized protein	1	Msex2.11923	NA	PREDICTED: c-Myc-binding protein-like	NA	FBgn0038373
DPOGS203278	DPOGS109609	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	PREDICTED: uncharacterized protein LOC101746333	Msex2.00325	NA
DPOGS203282	DPOGS108720	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.01420	NA	hypothetical protein KGM_08720	NA	NA
DPOGS203290	DPOGS108729	TRUE	TRUE	TRUE	Aldose-1-epimerase	1	Msex2.01396	NA	aldose-1-epimerase	NA	FBgn0035679
DPOGS203293	DPOGS108730	FALSE	TRUE	TRUE	Uncharacterized protein	1	Msex2.01399	NA	hypothetical protein KGM_08730	NA	FBgn0261451
DPOGS203307	DPOGS108745	FALSE	TRUE	TRUE	Venom allergen 5	1	Msex2.05997	NA	venom allergen 5	NA	FBgn0038126
DPOGS203308	DPOGS108746	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.05998	NA	hypothetical protein KGM_08746	NA	FBgn0037483
DPOGS203309	DPOGS108747	TRUE	FALSE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_08747	NA	NA
DPOGS203321	DPOGS108758	TRUE	TRUE	TRUE	Mitochondrial processing peptidase beta subunit	NA	NA	NA	mitochondrial processing peptidase beta subunit	Msex2.03689	NA
DPOGS203334	DPOGS108771	TRUE	TRUE	TRUE	Uncharacterized protein	0.667	Msex2.04846	FBgn0003885	hypothetical protein KGM_08771	Msex2.02828	FBgn0003884
DPOGS203337	DPOGS108775	TRUE	TRUE	TRUE	Putative serine/threonine-protein kinase 38	NA	NA	NA	serine threonine-protein kinase 38	Msex2.01345	FBgn0003744
DPOGS203359	DPOGS110043	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_10043	Msex2.14228	FBgn0053196
DPOGS203388	DPOGS108809	TRUE	TRUE	TRUE	Beta-actin	NA	NA	NA	beta-actin	Msex2.03685	FBgn0000044
DPOGS203389	DPOGS108810	TRUE	TRUE	TRUE	Actin	1	Msex2.03686	NA	actin	NA	FBgn0000046
DPOGS203391	DPOGS108815	TRUE	TRUE	TRUE	Ubiquinol-cytochrome c reductase core protein I	NA	NA	NA	ubiquinol-cytochrome c reductase core protein i	Msex2.03690	NA
DPOGS203402	DPOGS108826	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_08826	Msex2.05995	NA
DPOGS203412	DPOGS108839	FALSE	FALSE	TRUE	Putative signal transduction protein p25	NA	NA	NA	signal transduction protein p25	Msex2.08003	FBgn0266417
DPOGS203413	DPOGS108840	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_08840	Msex2.01400	NA
DPOGS203439	DPOGS110995	FALSE	FALSE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_10995	Msex2.01950	FBgn0016641
DPOGS203450	DPOGS122363	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.01968	NA	neverland	NA	FBgn0259697
